Time, Humidity, Temperature, Salinity
1810, 35.0, 21.0, 32.7762
2334, 35.0, 21.0, 32.7762
2858, 35.0, 21.0, 32.7762
3378, 35.0, 21.0, 32.7762
3902, 35.0, 21.0, 31.8233
4427, 35.0, 21.0, 31.8233
4947, 35.0, 21.0, 32.7762
5471, 35.0, 21.0, 32.7762
5995, 35.0, 21.0, 31.8233
6516, 35.0, 21.0, 31.8233
7040, 35.0, 21.0, 32.7762
7564, 35.0, 21.0, 32.7762
8088, 35.0, 21.0, 32.7762
8608, 35.0, 21.0, 32.7762
9133, 35.0, 21.0, 32.7762
9658, 35.0, 21.0, 32.7762
10177, 35.0, 21.0, 32.7762
10701, 35.0, 21.0, 31.8233
11226, 35.0, 21.0, 32.7762
11746, 35.0, 21.0, 32.7762
12270, 35.0, 21.0, 32.7762
12794, 35.0, 21.0, 32.7762
13318, 35.0, 21.0, 32.7762
13839, 35.0, 21.0, 32.7762
14363, 35.0, 21.0, 32.7762
14887, 35.0, 21.0, 32.7762
15407, 35.0, 21.0, 33.7291
15932, 35.0, 21.0, 32.7762
16456, 35.0, 21.0, 32.7762
16976, 35.0, 21.0, 32.7762
17500, 35.0, 21.0, 32.7762
18024, 35.0, 21.0, 31.8233
18549, 35.0, 21.0, 32.7762
19069, 35.0, 21.0, 32.7762
19592, 35.0, 21.0, 33.7291
20116, 35.0, 21.0, 32.7762
20639, 35.0, 21.0, 32.7762
21162, 35.0, 21.0, 32.7762
21686, 35.0, 21.0, 32.7762
22206, 35.0, 21.0, 32.7762
22730, 35.0, 21.0, 32.7762
23255, 35.0, 21.0, 32.7762
23779, 35.0, 21.0, 32.7762
24299, 35.0, 21.0, 32.7762
24823, 35.0, 21.0, 32.7762
25348, 35.0, 21.0, 32.7762
25868, 35.0, 21.0, 32.7762
26392, 35.0, 21.0, 32.7762
26916, 35.0, 21.0, 32.7762
27436, 35.0, 21.0, 32.7762
27961, 35.0, 21.0, 32.7762
28485, 35.0, 21.0, 32.7762
29009, 35.0, 21.0, 32.7762
29529, 35.0, 21.0, 32.7762
30054, 35.0, 21.0, 33.7291
30578, 35.0, 21.0, 33.7291
31098, 35.0, 21.0, 32.7762
31622, 35.0, 21.0, 32.7762
32146, 35.0, 21.0, 32.7762
32667, 35.0, 21.0, 33.7291
33191, 35.0, 21.0, 33.7291
33715, 35.0, 21.0, 32.7762
34239, 35.0, 21.0, 33.7291
34760, 35.0, 21.0, 32.7762
35284, 35.0, 21.0, 33.7291
35808, 35.0, 21.0, 32.7762
36328, 35.0, 21.0, 32.7762
36852, 35.0, 21.0, 32.7762
37377, 35.0, 21.0, 32.7762
37897, 35.0, 21.0, 32.7762
38421, 35.0, 21.0, 32.7762
38945, 35.0, 21.0, 32.7762
39470, 35.0, 21.0, 32.7762
39990, 35.0, 21.0, 33.7291
40514, 35.0, 21.0, 32.7762
41038, 35.0, 21.0, 32.7762
41558, 35.0, 21.0, 33.7291
42083, 35.0, 21.0, 33.7291
42607, 35.0, 21.0, 32.7762
43131, 35.0, 21.0, 32.7762
43651, 35.0, 21.0, 32.7762
44176, 35.0, 21.0, 32.7762
44700, 35.0, 21.0, 32.7762
45220, 35.0, 21.0, 32.7762
45744, 35.0, 21.0, 32.7762
46268, 35.0, 21.0, 32.7762
46789, 35.0, 21.0, 31.8233
47313, 35.0, 21.0, 32.7762
47837, 35.0, 21.0, 32.7762
48361, 35.0, 21.0, 31.8233
